Run log for fold 1
Device: cuda
AMP enabled: True
Staged tuning: True
Validation interval epochs: 1
Final validation: False
Best checkpoint metric: val_dice (max)
Output dir: /data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/checkpoints/tbi_multitalentv2/fold_1
Dataset summary: total=552, lesion_positive=322, lesion_empty=230, dmri=229
Train split summary: total=441, lesion_positive=256, lesion_empty=185, dmri=183
Val split summary: total=111, lesion_positive=66, lesion_empty=45, dmri=46
Case sampling: enabled=True, target_positive_fraction=0.65, target_empty_fraction=0.35, positive_weight=nan, empty_weight=1.0, num_samples=441, replacement=True
phase	epoch	stage	train_loss	train_dice	val_loss	val_dice	monitor_metric	monitor_value	lr_head	lr_partial	lr_full
train	69	full	0.500876	0.655811	0.693613	0.561368	val_dice	0.561368	0.00000000	0.00000000	0.00007205
train	70	full	0.490580	0.650124	0.686524	0.478783	val_dice	0.478783	0.00000000	0.00000000	0.00007156
train	71	full	0.485775	0.618692	0.699772	0.402673	val_dice	0.402673	0.00000000	0.00000000	0.00007107
train	72	full	0.489777	0.635955	0.699719	0.510450	val_dice	0.510450	0.00000000	0.00000000	0.00007058
train	73	full	0.497734	0.664853	0.701944	0.490043	val_dice	0.490043	0.00000000	0.00000000	0.00007008
train	74	full	0.478090	0.664067	0.698349	0.485273	val_dice	0.485273	0.00000000	0.00000000	0.00006959
train	75	full	0.484705	0.664535	0.693844	0.597440	val_dice	0.597440	0.00000000	0.00000000	0.00006910
train	76	full	0.454619	0.688780	0.690537	0.573625	val_dice	0.573625	0.00000000	0.00000000	0.00006860
train	77	full	0.475622	0.674151	0.691061	0.582547	val_dice	0.582547	0.00000000	0.00000000	0.00006811
train	78	full	0.474299	0.682486	0.687471	0.577423	val_dice	0.577423	0.00000000	0.00000000	0.00006761
train	79	full	0.463291	0.665474	0.694597	0.552500	val_dice	0.552500	0.00000000	0.00000000	0.00006712
train	80	full	0.483545	0.656768	0.703252	0.551676	val_dice	0.551676	0.00000000	0.00000000	0.00006662
train	81	full	0.483649	0.658838	0.693269	0.535053	val_dice	0.535053	0.00000000	0.00000000	0.00006613
train	82	full	0.477401	0.656301	0.693804	0.607162	val_dice	0.607162	0.00000000	0.00000000	0.00006563
train	83	full	0.454009	0.692632	0.694169	0.579119	val_dice	0.579119	0.00000000	0.00000000	0.00006514
train	84	full	0.468664	0.671303	0.708215	0.537972	val_dice	0.537972	0.00000000	0.00000000	0.00006464
train	85	full	0.465566	0.683333	0.687867	0.558223	val_dice	0.558223	0.00000000	0.00000000	0.00006414
train	86	full	0.459673	0.678156	0.693805	0.534995	val_dice	0.534995	0.00000000	0.00000000	0.00006364
train	87	full	0.481951	0.670128	0.684211	0.562149	val_dice	0.562149	0.00000000	0.00000000	0.00006314
train	88	full	0.461939	0.684501	0.690387	0.547145	val_dice	0.547145	0.00000000	0.00000000	0.00006265
train	89	full	0.481395	0.676745	0.689643	0.556800	val_dice	0.556800	0.00000000	0.00000000	0.00006215
train	90	full	0.468720	0.688779	0.678719	0.585938	val_dice	0.585938	0.00000000	0.00000000	0.00006165
train	91	full	0.472951	0.691738	0.699031	0.539279	val_dice	0.539279	0.00000000	0.00000000	0.00006115
train	92	full	0.457251	0.703428	0.698407	0.575893	val_dice	0.575893	0.00000000	0.00000000	0.00006065
train	93	full	0.453505	0.694416	0.696099	0.604277	val_dice	0.604277	0.00000000	0.00000000	0.00006015
train	94	full	0.477404	0.702596	0.690084	0.520190	val_dice	0.520190	0.00000000	0.00000000	0.00005964
train	95	full	0.452151	0.695721	0.692073	0.581385	val_dice	0.581385	0.00000000	0.00000000	0.00005914
train	96	full	0.447639	0.680878	0.689058	0.557213	val_dice	0.557213	0.00000000	0.00000000	0.00005864
train	97	full	0.445969	0.714512	0.689252	0.539442	val_dice	0.539442	0.00000000	0.00000000	0.00005814
train	98	full	0.467750	0.698339	0.708596	0.573171	val_dice	0.573171	0.00000000	0.00000000	0.00005763
train	99	full	0.452887	0.680472	0.687966	0.513311	val_dice	0.513311	0.00000000	0.00000000	0.00005713
train	100	full	0.456057	0.671857	0.685098	0.542969	val_dice	0.542969	0.00000000	0.00000000	0.00005663
train	101	full	0.462420	0.713456	0.684421	0.588916	val_dice	0.588916	0.00000000	0.00000000	0.00005612
train	102	full	0.460988	0.701960	0.692324	0.589917	val_dice	0.589917	0.00000000	0.00000000	0.00005562
train	103	full	0.441904	0.715599	0.699011	0.584126	val_dice	0.584126	0.00000000	0.00000000	0.00005511
train	104	full	0.444899	0.715279	0.693949	0.552186	val_dice	0.552186	0.00000000	0.00000000	0.00005460
train	105	full	0.418198	0.720006	0.690469	0.573839	val_dice	0.573839	0.00000000	0.00000000	0.00005410
train	106	full	0.460774	0.675785	0.691715	0.563466	val_dice	0.563466	0.00000000	0.00000000	0.00005359
train	107	full	0.423121	0.696663	0.697483	0.558146	val_dice	0.558146	0.00000000	0.00000000	0.00005308
train	108	full	0.451858	0.701463	0.692561	0.562786	val_dice	0.562786	0.00000000	0.00000000	0.00005257
train	109	full	0.419041	0.699813	0.702866	0.498432	val_dice	0.498432	0.00000000	0.00000000	0.00005206
train	110	full	0.433177	0.727534	0.692058	0.536008	val_dice	0.536008	0.00000000	0.00000000	0.00005155
train	111	full	0.428087	0.750862	0.688804	0.597560	val_dice	0.597560	0.00000000	0.00000000	0.00005104
train	112	full	0.396373	0.717603	0.474931	0.663271	val_dice	0.663271	0.00000000	0.00000000	0.00005053
saved	112	full	0.396373	0.717603	0.474931	0.663271
train	113	full	0.341391	0.711668	0.477807	0.643328	val_dice	0.643328	0.00000000	0.00000000	0.00005002
train	114	full	0.277540	0.755869	0.461641	0.624118	val_dice	0.624118	0.00000000	0.00000000	0.00004951
train	115	full	0.296298	0.758195	0.475980	0.589931	val_dice	0.589931	0.00000000	0.00000000	0.00004900
train	116	full	0.301834	0.739724	0.387776	0.660195	val_dice	0.660195	0.00000000	0.00000000	0.00004848
train	117	full	0.279516	0.755495	0.364114	0.655800	val_dice	0.655800	0.00000000	0.00000000	0.00004797
train	118	full	0.265483	0.756235	0.402961	0.654845	val_dice	0.654845	0.00000000	0.00000000	0.00004746
train	119	full	0.272951	0.751299	0.423153	0.639538	val_dice	0.639538	0.00000000	0.00000000	0.00004694
train	120	full	0.249402	0.768411	0.375300	0.657622	val_dice	0.657622	0.00000000	0.00000000	0.00004643
train	121	full	0.251930	0.781366	0.381481	0.634506	val_dice	0.634506	0.00000000	0.00000000	0.00004591
train	122	full	0.247384	0.777431	0.420625	0.625037	val_dice	0.625037	0.00000000	0.00000000	0.00004539
train	123	full	0.242981	0.778188	0.403476	0.628163	val_dice	0.628163	0.00000000	0.00000000	0.00004488
train	124	full	0.253770	0.760769	0.405062	0.609153	val_dice	0.609153	0.00000000	0.00000000	0.00004436
train	125	full	0.243634	0.781764	0.417603	0.642520	val_dice	0.642520	0.00000000	0.00000000	0.00004384
train	126	full	0.268873	0.751664	0.429496	0.602581	val_dice	0.602581	0.00000000	0.00000000	0.00004332
train	127	full	0.275525	0.752187	0.389507	0.635741	val_dice	0.635741	0.00000000	0.00000000	0.00004280
train	128	full	0.235368	0.784635	0.415377	0.613704	val_dice	0.613704	0.00000000	0.00000000	0.00004228
