threshold,min_component_voxels,case_id,dice,precision,recall,gt_voxels,gt_category,pred_voxels,pred_category,tp,fp,fn,missed_positive,empty_false_positive
0.1,3,0167,0.7800987918824019,0.7329456497427869,0.8337361658822032,7861,large,8942,large,6554,2388,1307,0,0
0.1,5,0167,0.7800987918824019,0.7329456497427869,0.8337361658822032,7861,large,8942,large,6554,2388,1307,0,0
0.15,0,0167,0.7830354438049076,0.7475705691809348,0.8220328202518764,7861,large,8644,large,6462,2182,1399,0,0
0.15,3,0167,0.7828879597648912,0.7475121499652858,0.8217783996946953,7861,large,8642,large,6460,2182,1401,0,0
0.15,5,0167,0.7828879597648912,0.7475121499652858,0.8217783996946953,7861,large,8642,large,6460,2182,1401,0,0
0.2,0,0167,0.7834465719579987,0.76143594669228,0.8067675868210151,7861,large,8329,large,6342,1987,1519,0,0
0.2,3,0167,0.783371425041695,0.7614073006724303,0.8066403765424246,7861,large,8328,large,6341,1987,1520,0,0
0.2,5,0167,0.783371425041695,0.7614073006724303,0.8066403765424246,7861,large,8328,large,6341,1987,1520,0,0
0.1,0,0169,0.4274061990212072,0.3373390557939914,0.5830860534124629,2022,small,3495,small,1179,2316,843,0,0
0.1,3,0169,0.4275611967361741,0.3375322072716862,0.5830860534124629,2022,small,3493,small,1179,2314,843,0,0
0.1,5,0169,0.4275611967361741,0.3375322072716862,0.5830860534124629,2022,small,3493,small,1179,2314,843,0,0
0.15,0,0169,0.4277788406351636,0.34882995319812793,0.552917903066271,2022,small,3205,small,1118,2087,904,0,0
0.15,3,0169,0.42786069651741293,0.3489388264669164,0.552917903066271,2022,small,3204,small,1118,2086,904,0,0
0.15,5,0169,0.427723530538005,0.34895345204623557,0.5524233432245301,2022,small,3201,small,1117,2084,905,0,0
0.2,0,0169,0.42757521418609284,0.35802469135802467,0.5306627101879328,2022,small,2997,small,1073,1924,949,0,0
0.2,3,0169,0.4279162512462612,0.3585031740728366,0.5306627101879328,2022,small,2993,small,1073,1920,949,0,0
0.2,5,0169,0.4283143371325735,0.3595166163141994,0.5296735905044511,2022,small,2979,small,1071,1908,951,0,0
0.1,0,0204,0.36167664670658684,0.5561694290976059,0.26796805678793256,1128,small,543,tiny,302,241,825,0,0
0.1,3,0204,0.36167664670658684,0.5561694290976059,0.26796805678793256,1128,small,543,tiny,302,241,825,0,0
0.1,5,0204,0.36167664670658684,0.5561694290976059,0.26796805678793256,1128,small,543,tiny,302,241,825,0,0
