threshold,min_component_voxels,case_id,dice,precision,recall,gt_voxels,gt_category,pred_voxels,pred_category,tp,fp,fn,missed_positive,empty_false_positive
0.35,0,0420,0.8369892251909379,0.8198075663694524,0.854906492960706,19036,large,19851,large,16274,3577,2762,0,0
0.35,3,0420,0.8370538010492747,0.8199314792422411,0.854906492960706,19036,large,19848,large,16274,3574,2762,0,0
0.35,5,0420,0.8371399176954732,0.8200967546865552,0.854906492960706,19036,large,19844,large,16274,3570,2762,0,0
0.35,20,0420,0.8372931092177405,0.8208751829606824,0.8543811725152343,19036,large,19813,large,16264,3549,2772,0,0
0.3,0,0450,0.3669724770642202,0.3076923076923077,0.45454545454545453,44,very_tiny,65,tiny,20,45,24,0,0
0.3,3,0450,0.3669724770642202,0.3076923076923077,0.45454545454545453,44,very_tiny,65,tiny,20,45,24,0,0
0.3,5,0450,0.3669724770642202,0.3076923076923077,0.45454545454545453,44,very_tiny,65,tiny,20,45,24,0,0
0.3,20,0450,0.3669724770642202,0.3076923076923077,0.45454545454545453,44,very_tiny,65,tiny,20,45,24,0,0
0.35,0,0450,0.5405405405405406,0.6666666666666666,0.45454545454545453,44,very_tiny,30,very_tiny,20,10,24,0,0
0.35,3,0450,0.5555555555555556,0.7142857142857143,0.45454545454545453,44,very_tiny,28,very_tiny,20,8,24,0,0
0.35,5,0450,0.5555555555555556,0.7142857142857143,0.45454545454545453,44,very_tiny,28,very_tiny,20,8,24,0,0
0.35,20,0450,0.5555555555555556,0.7142857142857143,0.45454545454545453,44,very_tiny,28,very_tiny,20,8,24,0,0
0.3,0,0452,0.6565874730021598,0.6055776892430279,0.7169811320754716,212,tiny,251,tiny,152,99,60,0,0
0.3,3,0452,0.6565874730021598,0.6055776892430279,0.7169811320754716,212,tiny,251,tiny,152,99,60,0,0
0.3,5,0452,0.6608695652173913,0.6129032258064516,0.7169811320754716,212,tiny,248,tiny,152,96,60,0,0
0.3,20,0452,0.6831460674157304,0.6523605150214592,0.7169811320754716,212,tiny,233,tiny,152,81,60,0,0
0.35,0,0452,0.6548672566371682,0.6166666666666667,0.6981132075471698,212,tiny,240,tiny,148,92,64,0,0
0.35,3,0452,0.6548672566371682,0.6166666666666667,0.6981132075471698,212,tiny,240,tiny,148,92,64,0,0
0.35,5,0452,0.6592427616926503,0.6244725738396625,0.6981132075471698,212,tiny,237,tiny,148,89,64,0,0
0.35,20,0452,0.6804597701149425,0.6636771300448431,0.6981132075471698,212,tiny,223,tiny,148,75,64,0,0
0.3,0,0467,0.8416688083611754,0.8969143691802082,0.7928340865074242,31023,large,27385,large,24562,2823,6418,0,0
0.3,3,0467,0.8415984098152781,0.8969610636277303,0.7926726920593932,31023,large,27378,large,24557,2821,6423,0,0
0.3,5,0467,0.841538856995973,0.8969497716894977,0.7925758553905745,31023,large,27375,large,24554,2821,6426,0,0
0.3,20,0467,0.841538856995973,0.8969497716894977,0.7925758553905745,31023,large,27375,large,24554,2821,6426,0,0
0.35,0,0467,0.8394550784618038,0.9011477230655313,0.7856681730148483,31023,large,27010,large,24340,2670,6640,0,0
0.35,3,0467,0.8394239889626628,0.9012034808368821,0.7855713363460297,31023,large,27005,large,24337,2668,6643,0,0
0.35,5,0467,0.8394818992428554,0.9013369875189807,0.7855713363460297,31023,large,27001,large,24337,2664,6643,0,0
0.35,20,0467,0.8397080896433932,0.9019011970499945,0.7855390574564235,31023,large,26983,large,24336,2647,6644,0,0
0.3,0,0491,0.037037037037037035,1.0,0.018867924528301886,212,tiny,4,very_tiny,4,0,208,0,0
0.3,3,0491,0.037037037037037035,1.0,0.018867924528301886,212,tiny,4,very_tiny,4,0,208,0,0
0.3,5,0491,0.0,0.0,0.0,212,tiny,0,empty,0,0,212,1,0
0.3,20,0491,0.0,0.0,0.0,212,tiny,0,empty,0,0,212,1,0
0.35,0,0491,0.027906976744186046,1.0,0.014150943396226415,212,tiny,3,very_tiny,3,0,209,0,0
0.35,3,0491,0.027906976744186046,1.0,0.014150943396226415,212,tiny,3,very_tiny,3,0,209,0,0
0.35,5,0491,0.0,0.0,0.0,212,tiny,0,empty,0,0,212,1,0
0.35,20,0491,0.0,0.0,0.0,212,tiny,0,empty,0,0,212,1,0
0.3,0,0512,0.7035775127768313,0.6503937007874016,0.7662337662337663,536,tiny,635,tiny,413,222,126,0,0
0.3,3,0512,0.7071917808219178,0.6565977742448331,0.7662337662337663,536,tiny,629,tiny,413,216,126,0,0
0.3,5,0512,0.7071917808219178,0.6565977742448331,0.7662337662337663,536,tiny,629,tiny,413,216,126,0,0
