threshold,min_component_voxels,case_id,dice,precision,recall,gt_voxels,gt_category,pred_voxels,pred_category,tp,fp,fn,missed_positive,empty_false_positive
0.4,20,0130,0.6012195121951219,0.6056511056511057,0.5968523002421308,826,tiny,814,tiny,493,321,333,0,0
0.45,0,0130,0.6108735491753207,0.6165228113440198,0.6053268765133172,826,tiny,811,tiny,500,311,326,0,0
0.45,3,0130,0.6116207951070336,0.6180469715698393,0.6053268765133172,826,tiny,809,tiny,500,309,326,0,0
0.45,5,0130,0.6101903007980356,0.6189290161892902,0.6016949152542372,826,tiny,803,tiny,497,306,329,0,0
0.45,10,0130,0.5988840669559826,0.613722998729352,0.5847457627118644,826,tiny,787,tiny,483,304,343,0,0
0.45,20,0130,0.5988840669559826,0.613722998729352,0.5847457627118644,826,tiny,787,tiny,483,304,343,0,0
0.5,0,0130,0.612042209807573,0.6280254777070063,0.5968523002421308,826,tiny,785,tiny,493,292,333,0,0
0.5,3,0130,0.611076540136901,0.6286811779769527,0.5944309927360775,826,tiny,781,tiny,491,290,335,0,0
0.5,5,0130,0.6122194513715711,0.6311053984575835,0.5944309927360775,826,tiny,778,tiny,491,287,335,0,0
0.5,10,0130,0.6016362492133417,0.6264744429882044,0.5786924939467313,826,tiny,763,tiny,478,285,348,0,0
0.5,20,0130,0.6016362492133417,0.6264744429882044,0.5786924939467313,826,tiny,763,tiny,478,285,348,0,0
0.55,0,0130,0.6068965517241379,0.6293888166449935,0.585956416464891,826,tiny,769,tiny,484,285,342,0,0
0.55,3,0130,0.6050314465408805,0.6295811518324608,0.5823244552058111,826,tiny,764,tiny,481,283,345,0,0
0.55,5,0130,0.6061751732829238,0.6320630749014454,0.5823244552058111,826,tiny,761,tiny,481,280,345,0,0
0.55,10,0130,0.6025316455696202,0.6312997347480106,0.576271186440678,826,tiny,754,tiny,476,278,350,0,0
0.55,20,0130,0.6025316455696202,0.6312997347480106,0.576271186440678,826,tiny,754,tiny,476,278,350,0,0
0.35,0,0145,0.7355650707149345,0.8138099339649727,0.6710464015151515,8447,large,6966,large,5669,1297,2779,0,0
0.35,3,0145,0.7356127943943425,0.8139267767408471,0.6710464015151515,8447,large,6965,large,5669,1296,2779,0,0
0.35,5,0145,0.7356127943943425,0.8139267767408471,0.6710464015151515,8447,large,6965,large,5669,1296,2779,0,0
0.35,10,0145,0.7360425863412101,0.8149798734905118,0.6710464015151515,8447,large,6956,large,5669,1287,2779,0,0
0.35,20,0145,0.7365000974722204,0.8164529606684916,0.6708096590909091,8447,large,6941,large,5667,1274,2781,0,0
0.4,0,0145,0.7343228928267835,0.8203067932797663,0.6646543560606061,8447,large,6845,large,5615,1230,2833,0,0
0.4,3,0145,0.7343228928267835,0.8203067932797663,0.6646543560606061,8447,large,6845,large,5615,1230,2833,0,0
0.4,5,0145,0.7343228928267835,0.8203067932797663,0.6646543560606061,8447,large,6845,large,5615,1230,2833,0,0
0.4,10,0145,0.7347552996597749,0.8213867758923347,0.6646543560606061,8447,large,6836,large,5615,1221,2833,0,0
0.4,20,0145,0.736248606831443,0.8251285819250551,0.6646543560606061,8447,large,6805,large,5615,1190,2833,0,0
0.45,0,0145,0.7334606016720426,0.8261901230906125,0.6594460227272727,8447,large,6743,large,5571,1172,2877,0,0
0.45,3,0145,0.7334606016720426,0.8261901230906125,0.6594460227272727,8447,large,6743,large,5571,1172,2877,0,0
0.45,5,0145,0.7334606016720426,0.8261901230906125,0.6594460227272727,8447,large,6743,large,5571,1172,2877,0,0
0.45,10,0145,0.7342339373970346,0.8281551954808979,0.6594460227272727,8447,large,6727,large,5571,1156,2877,0,0
0.45,20,0145,0.7350089056006333,0.8301296379079124,0.6594460227272727,8447,large,6711,large,5571,1140,2877,0,0
0.5,0,0145,0.7313611037410453,0.8317742908871455,0.6525804924242424,8447,large,6628,large,5513,1115,2935,0,0
0.5,3,0145,0.7313611037410453,0.8317742908871455,0.6525804924242424,8447,large,6628,large,5513,1115,2935,0,0
0.5,5,0145,0.7313611037410453,0.8317742908871455,0.6525804924242424,8447,large,6628,large,5513,1115,2935,0,0
0.5,10,0145,0.73194370685077,0.8332829504232164,0.6525804924242424,8447,large,6616,large,5513,1103,2935,0,0
0.5,20,0145,0.7324785756991962,0.8346707040121121,0.6525804924242424,8447,large,6605,large,5513,1092,2935,0,0
0.55,0,0145,0.7287649296056582,0.8351429882244992,0.6464251893939394,8447,large,6539,large,5461,1078,2987,0,0
0.55,3,0145,0.7287649296056582,0.8351429882244992,0.6464251893939394,8447,large,6539,large,5461,1078,2987,0,0
0.55,5,0145,0.7287649296056582,0.8351429882244992,0.6464251893939394,8447,large,6539,large,5461,1078,2987,0,0
0.55,10,0145,0.7293002136752137,0.8365502450980392,0.6464251893939394,8447,large,6528,large,5461,1067,2987,0,0
0.55,20,0145,0.7297875183749833,0.8378336913163547,0.6464251893939394,8447,large,6518,large,5461,1057,2987,0,0
0.35,0,0157,0.695583596214511,0.6948529411764706,0.6963157894736842,1906,small,1904,small,1323,581,577,0,0
0.35,3,0157,0.6957665001314751,0.6952180767209669,0.6963157894736842,1906,small,1903,small,1323,580,577,0,0
0.35,5,0157,0.6957665001314751,0.6952180767209669,0.6963157894736842,1906,small,1903,small,1323,580,577,0,0
0.35,10,0157,0.6970495258166491,0.6977848101265823,0.6963157894736842,1906,small,1896,small,1323,573,577,0,0
0.35,20,0157,0.6998148637926475,0.7033492822966507,0.6963157894736842,1906,small,1881,small,1323,558,577,0,0
0.4,0,0157,0.6893020749124226,0.7062396466040861,0.6731578947368421,1906,small,1811,small,1279,532,621,0,0
0.4,3,0157,0.6896737665138851,0.70702045328911,0.6731578947368421,1906,small,1809,small,1279,530,621,0,0
0.4,5,0157,0.6896737665138851,0.70702045328911,0.6731578947368421,1906,small,1809,small,1279,530,621,0,0
0.4,10,0157,0.6896737665138851,0.70702045328911,0.6731578947368421,1906,small,1809,small,1279,530,621,0,0
0.4,20,0157,0.6919123613740871,0.7117417918753478,0.6731578947368421,1906,small,1797,small,1279,518,621,0,0
0.45,0,0157,0.6850220264317181,0.7182448036951501,0.6547368421052632,1906,small,1732,small,1244,488,656,0,0
0.45,3,0157,0.6853994490358126,0.7190751445086705,0.6547368421052632,1906,small,1730,small,1244,486,656,0,0
0.45,5,0157,0.6853994490358126,0.7190751445086705,0.6547368421052632,1906,small,1730,small,1244,486,656,0,0
0.45,10,0157,0.6853994490358126,0.7190751445086705,0.6547368421052632,1906,small,1730,small,1244,486,656,0,0
0.45,20,0157,0.687292817679558,0.7232558139534884,0.6547368421052632,1906,small,1720,small,1244,476,656,0,0
