threshold,min_component_voxels,case_id,dice,precision,recall,gt_voxels,gt_category,pred_voxels,pred_category,tp,fp,fn,missed_positive,empty_false_positive
0.35,10,0842,0.8526428338989355,0.8079254325686295,0.9026003425129426,50801,large,56754,large,45853,10901,4948,0,0
0.35,20,0842,0.8526428338989355,0.8079254325686295,0.9026003425129426,50801,large,56754,large,45853,10901,4948,0,0
0.3,10,0877,0.8166485310119695,0.8338888888888889,0.8001066098081023,1867,small,1800,small,1501,299,375,0,0
0.3,20,0877,0.8166485310119695,0.8338888888888889,0.8001066098081023,1867,small,1800,small,1501,299,375,0,0
0.35,10,0877,0.817032967032967,0.8429705215419501,0.7926439232409381,1867,small,1764,small,1487,277,389,0,0
0.35,20,0877,0.817032967032967,0.8429705215419501,0.7926439232409381,1867,small,1764,small,1487,277,389,0,0
0.3,10,0891,0.45491470349309504,0.6746987951807228,0.3431372549019608,816,tiny,415,tiny,280,135,536,0,0
0.3,20,0891,0.45491470349309504,0.6746987951807228,0.3431372549019608,816,tiny,415,tiny,280,135,536,0,0
0.35,10,0891,0.4527363184079602,0.7,0.33455882352941174,816,tiny,390,tiny,273,117,543,0,0
0.35,20,0891,0.4592094196804037,0.7319034852546917,0.33455882352941174,816,tiny,373,tiny,273,100,543,0,0
0.3,10,0894,0.6988094195920511,0.6879389839272634,0.7100289081609962,22485,large,23207,large,15965,7242,6520,0,0
0.3,20,0894,0.6991001248002102,0.6885026737967914,0.7100289081609962,22485,large,23188,large,15965,7223,6520,0,0
0.35,10,0894,0.6984621547637594,0.6990377761938703,0.697887480542584,22485,large,22448,large,15692,6756,6793,0,0
0.35,20,0894,0.6986954005075916,0.6995051932420987,0.697887480542584,22485,large,22433,large,15692,6741,6793,0,0
0.3,10,0911,0.5221421215242018,0.40015785319652725,0.7511111111111111,675,tiny,1267,small,507,760,168,0,0
0.3,20,0911,0.5221421215242018,0.40015785319652725,0.7511111111111111,675,tiny,1267,small,507,760,168,0,0
0.35,10,0911,0.5217391304347826,0.4035656401944895,0.7377777777777778,675,tiny,1234,small,498,736,177,0,0
0.35,20,0911,0.5217391304347826,0.4035656401944895,0.7377777777777778,675,tiny,1234,small,498,736,177,0,0
0.3,10,0922,0.571986508077401,0.47480106100795755,0.7191964285714286,2245,small,3393,small,1611,1782,629,0,0
0.3,20,0922,0.571986508077401,0.47480106100795755,0.7191964285714286,2245,small,3393,small,1611,1782,629,0,0
0.35,10,0922,0.5812556869881711,0.49062980030721964,0.7129464285714285,2245,small,3255,small,1597,1658,643,0,0
0.35,20,0922,0.5812556869881711,0.49062980030721964,0.7129464285714285,2245,small,3255,small,1597,1658,643,0,0
0.3,10,0945,0.7193138783693473,0.8352302121055354,0.6316510172143975,5102,large,3866,small,3229,637,1883,0,0
0.3,20,0945,0.7234233225047608,0.8463958060288336,0.6316510172143975,5102,large,3815,small,3229,586,1883,0,0
0.35,10,0945,0.7176536943034405,0.8475885957900346,0.6222613458528952,5102,large,3753,small,3181,572,1931,0,0
0.35,20,0945,0.7199275772320923,0.8539597315436241,0.6222613458528952,5102,large,3725,small,3181,544,1931,0,0
0.3,10,0951,0.742135121196493,0.8190096755833808,0.6784535596416784,2121,small,1757,small,1439,318,682,0,0
0.3,20,0951,0.742135121196493,0.8190096755833808,0.6784535596416784,2121,small,1757,small,1439,318,682,0,0
0.35,10,0951,0.7352400944633954,0.8289940828402367,0.6605374823196606,2121,small,1690,small,1401,289,720,0,0
0.35,20,0951,0.7289029535864979,0.827049670855775,0.6515794436586516,2121,small,1671,small,1382,289,739,0,0
0.3,10,0982,0.7115902964959568,0.7904191616766467,0.6470588235294118,204,tiny,167,tiny,132,35,72,0,0
0.3,20,0982,0.7115902964959568,0.7904191616766467,0.6470588235294118,204,tiny,167,tiny,132,35,72,0,0
0.35,10,0982,0.7178082191780822,0.8136645962732919,0.6421568627450981,204,tiny,161,tiny,131,30,73,0,0
0.35,20,0982,0.7178082191780822,0.8136645962732919,0.6421568627450981,204,tiny,161,tiny,131,30,73,0,0
0.3,10,1031,0.3122718337545633,0.7585266030013642,0.1966053748231966,2828,small,733,tiny,556,177,2272,0,0
0.3,20,1031,0.3149249504389691,0.7908961593172119,0.1966053748231966,2828,small,703,tiny,556,147,2272,0,0
0.35,10,1031,0.309049516220831,0.7915451895043731,0.192008486562942,2828,small,686,tiny,543,143,2285,0,0
0.35,20,1031,0.31162123385939744,0.8264840182648402,0.192008486562942,2828,small,657,tiny,543,114,2285,0,0
0.3,10,1038,0.8326921938805705,0.8417085427135679,0.8238669633446539,8539,large,8358,large,7035,1323,1504,0,0
0.3,20,1038,0.8326921938805705,0.8417085427135679,0.8238669633446539,8539,large,8358,large,7035,1323,1504,0,0
0.35,10,1038,0.8316606929510155,0.8487989269601268,0.8152008431900691,8539,large,8201,large,6961,1240,1578,0,0
0.35,20,1038,0.8316606929510155,0.8487989269601268,0.8152008431900691,8539,large,8201,large,6961,1240,1578,0,0
0.3,10,1059,0.6382647385984427,0.7233077020042858,0.5711157559470489,10047,large,7933,large,5738,2195,4309,0,0
0.3,20,1059,0.6382647385984427,0.7233077020042858,0.5711157559470489,10047,large,7933,large,5738,2195,4309,0,0
0.35,10,1059,0.634080414461088,0.7301257943198028,0.5603662784910919,10047,large,7711,large,5630,2081,4417,0,0
0.35,20,1059,0.634080414461088,0.7301257943198028,0.5603662784910919,10047,large,7711,large,5630,2081,4417,0,0
0.3,10,1066,0.8383153734806884,0.7559828440005801,0.9407730191063095,38763,large,48263,large,36486,11777,2297,0,0
